t,u[0],u[1],u[2]
2.36,-8.2495,-9.66149,23.8728
2.365,-8.3201,-9.74217,23.953
2.37,-8.3912,-9.82022,24.0389
2.375,-8.46265,-9.89535,24.1304
2.38,-8.53429,-9.9673,24.2273
2.385,-8.60594,-10.0358,24.3296
2.39,-8.67743,-10.1005,24.4371
2.395,-8.74858,-10.1612,24.5495
2.4,-8.81922,-10.2176,24.6666
2.405,-8.88913,-10.2694,24.7883
2.41,-8.95815,-10.3163,24.9142
2.415,-9.02606,-10.3582,25.0441
2.42,-9.09266,-10.3947,25.1776
2.425,-9.15776,-10.4255,25.3145
2.43,-9.22115,-10.4506,25.4544
2.435,-9.28262,-10.4696,25.5968
2.44,-9.34197,-10.4824,25.7414
2.445,-9.39899,-10.4888,25.8879
2.45,-9.45348,-10.4886,26.0356
2.455,-9.50524,-10.4817,26.1842
2.46,-9.55406,-10.4681,26.3333
2.465,-9.59976,-10.4476,26.4822
2.47,-9.64215,-10.4202,26.6306
2.475,-9.68106,-10.3859,26.7779
2.48,-9.7163,-10.3447,26.9236
2.485,-9.74772,-10.2967,27.0672
2.49,-9.77517,-10.242,27.2081
2.495,-9.79851,-10.1806,27.3459
2.5,-9.81761,-10.1127,27.4801
2.505,-9.83237,-10.0386,27.6101
2.51,-9.84268,-9.95842,27.7355
2.515,-9.84847,-9.87243,27.8558
2.52,-9.84967,-9.78093,27.9705
2.525,-9.84623,-9.68423,28.0792
2.53,-9.83813,-9.58268,28.1816
2.535,-9.82536,-9.47664,28.2772
2.54,-9.80792,-9.36651,28.3658
2.545,-9.78585,-9.2527,28.4469
2.55,-9.75919,-9.13564,28.5203
2.555,-9.72802,-9.01578,28.5858
2.56,-9.6924,-8.89356,28.6432
2.565,-9.65246,-8.76946,28.6923
2.57,-9.60831,-8.64394,28.733
2.575,-9.56009,-8.51746,28.7651
2.58,-9.50796,-8.3905,28.7887
2.585,-9.45209,-8.26351,28.8038
2.59,-9.39266,-8.13695,28.8103
2.595,-9.32987,-8.01125,28.8083
2.6,-9.26394,-7.88683,28.7979
2.605,-9.19509,-7.76412,28.7792
2.61,-9.12354,-7.6435,28.7525
2.615,-9.04954,-7.52534,28.7178
2.62,-8.97333,-7.40999,28.6754
2.625,-8.89516,-7.29777,28.6255
2.63,-8.81529,-7.18899,28.5684
2.635,-8.73398,-7.08391,28.5043
2.64,-8.65147,-6.9828,28.4336
2.645,-8.56804,-6.88587,28.3566
2.65,-8.48393,-6.79332,28.2735
2.655,-8.3994,-6.70534,28.1847
2.66,-8.3147,-6.62206,28.0905
2.665,-8.23006,-6.54361,27.9913
2.67,-8.14574,-6.4701,27.8873
2.675,-8.06196,-6.40161,27.779
2.68,-7.97894,-6.3382,27.6667
2.685,-7.89691,-6.27992,27.5506
2.69,-7.81606,-6.22678,27.4312
2.695,-7.73659,-6.17879,27.3088
2.7,-7.6587,-6.13595,27.1837
2.705,-7.58256,-6.09823,27.0563
2.71,-7.50835,-6.06561,26.9267
2.715,-7.43621,-6.03803,26.7954
2.72,-7.3663,-6.01545,26.6626
2.725,-7.29876,-5.9978,26.5287
2.73,-7.23371,-5.98501,26.3938
2.735,-7.17128,-5.97701,26.2584
2.74,-7.11156,-5.97371,26.1226
2.745,-7.05467,-5.97504,25.9867
2.75,-7.00069,-5.98091,25.851
2.755,-6.9497,-5.99123,25.7157
2.76,-6.90178,-6.0059,25.581
2.765,-6.85698,-6.02484,25.4471
2.77,-6.81538,-6.04795,25.3144
2.775,-6.777,-6.07515,25.183
2.78,-6.74191,-6.10635,25.0531
2.785,-6.71013,-6.14145,24.9249
2.79,-6.6817,-6.18036,24.7986
2.795,-6.65663,-6.22301,24.6744
2.8,-6.63495,-6.26929,24.5525
2.805,-6.61667,-6.31914,24.4332
2.81,-6.60179,-6.37247,24.3164
2.815,-6.59033,-6.42919,24.2026
2.82,-6.58227,-6.48922,24.0917
2.825,-6.57762,-6.55249,23.9841
2.83,-6.57636,-6.61891,23.8798
2.835,-6.57849,-6.68842,23.779
2.84,-6.58398,-6.76092,23.682
2.845,-6.59283,-6.83635,23.5888
2.85,-6.60501,-6.91461,23.4996
2.855,-6.62049,-6.99564,23.4146
2.86,-6.63925,-7.07935,23.334
2.865,-6.66125,-7.16565,23.2579
2.87,-6.68647,-7.25445,23.1865
2.875,-6.71487,-7.34568,23.1198
2.88,-6.74641,-7.43922,23.0582
2.885,-6.78105,-7.53499,23.0017
2.89,-6.81875,-7.63288,22.9505
2.895,-6.85945,-7.73278,22.9047
2.9,-6.90312,-7.83457,22.8645
2.905,-6.94969,-7.93814,22.8301
2.91,-6.99912,-8.04335,22.8015
2.915,-7.05133,-8.15006,22.779
2.92,-7.10626,-8.25813,22.7626
2.925,-7.16386,-8.36739,22.7525
2.93,-7.22403,-8.4777,22.7489
2.935,-7.28672,-8.58886,22.7518
2.94,-7.35182,-8.7007,22.7613
2.945,-7.41927,-8.813,22.7777
2.95,-7.48895,-8.92557,22.8009
2.955,-7.56078,-9.03818,22.8311
2.96,-7.63465,-9.15059,22.8684
2.965,-7.71045,-9.26255,22.9128
2.97,-7.78806,-9.37381,22.9644
2.975,-7.86734,-9.48409,23.0232
2.98,-7.94818,-9.5931,23.0893
2.985,-8.03043,-9.70055,23.1627
2.99,-8.11393,-9.80613,23.2433
2.995,-8.19854,-9.9095,23.3313
3,-8.28409,-10.0103,23.4264
3.005,-8.3704,-10.1083,23.5287
3.01,-8.4573,-10.2031,23.638
3.015,-8.54459,-10.2942,23.7543
3.02,-8.63207,-10.3814,23.8774
3.025,-8.71954,-10.4643,24.0071
3.03,-8.80677,-10.5424,24.1432
3.035,-8.89356,-10.6155,24.2855
3.04,-8.97965,-10.6832,24.4337
3.045,-9.06483,-10.745,24.5876
3.05,-9.14883,-10.8006,24.7468
3.055,-9.23142,-10.8496,24.9109
3.06,-9.31233,-10.8918,25.0795
3.065,-9.39131,-10.9268,25.2523
3.07,-9.46808,-10.9542,25.4287
3.075,-9.54239,-10.9738,25.6082
3.08,-9.61396,-10.9854,25.7903
3.085,-9.68253,-10.9886,25.9745
3.09,-9.74783,-10.9833,26.1602
3.095,-9.80961,-10.9693,26.3467
3.1,-9.86759,-10.9465,26.5334
3.105,-9.92154,-10.9148,26.7197
3.11,-9.9712,-10.8741,26.9049
3.115,-10.0163,-10.8245,27.0883
3.12,-10.0568,-10.7659,27.2693
3.125,-10.0922,-10.6986,27.447
3.13,-10.1225,-10.6225,27.6209
3.135,-10.1475,-10.538,27.7903
3.14,-10.1671,-10.4452,27.9544
3.145,-10.181,-10.3445,28.1127
3.15,-10.1891,-10.2361,28.2644
3.155,-10.1915,-10.1205,28.409
3.16,-10.1879,-9.99809,28.546
3.165,-10.1784,-9.86935,28.6747
3.17,-10.163,-9.73477,28.7946
3.175,-10.1416,-9.59491,28.9053
3.18,-10.1142,-9.45031,29.0065
3.185,-10.081,-9.30159,29.0976
3.19,-10.0421,-9.14935,29.1785
3.195,-9.99744,-8.99422,29.2489
3.2,-9.94728,-8.83684,29.3085
3.205,-9.89175,-8.67784,29.3572
3.21,-9.83106,-8.51786,29.395
3.215,-9.7654,-8.35755,29.4217
3.22,-9.69501,-8.19751,29.4375
